date,max_SWDOWN
2019-04-01,1110.23
2019-04-02,1111.91
2019-04-03,1117.8
2019-04-04,1117.96
2019-04-05,1101.92
2019-04-06,1115.59
2019-04-07,1137.24
2019-04-08,1119.49
2019-04-09,1120.39
2019-04-10,1147.45
2019-04-11,1137.66
2019-04-12,1137.42
2019-04-13,1141.26
2019-04-14,1127.07
2019-04-15,1127.49
2019-04-16,1119.27
2019-04-17,1120.56
2019-04-18,1130.48
2019-04-19,1114.12
2019-04-20,1131.8
2019-04-21,1123.95
2019-04-22,1132.08
2019-04-23,1123.8
2019-04-24,1119.46
2019-04-25,1146.01
2019-04-26,1113.45
2019-04-27,1113.16
2019-04-28,1119.83
2019-04-29,1107.39
2019-04-30,1108.26
