timestamp,SWDOWN,lat_min,lat_max,lon_min,lon_max,date,hour,day,month
2019-05-02 13:00:00,1116.4701,19.3,19.75,-99.26,-98.88,2019-05-02,13,2,5
2019-05-02 13:00:00,1109.8468,19.3,19.75,-99.26,-98.88,2019-05-02,13,2,5
2019-05-02 14:00:00,1065.1891,19.3,19.75,-99.26,-98.88,2019-05-02,14,2,5
2019-05-02 14:00:00,1036.4286,19.3,19.75,-99.26,-98.88,2019-05-02,14,2,5
2019-05-02 15:00:00,940.0812,19.3,19.75,-99.26,-98.88,2019-05-02,15,2,5
2019-05-02 15:00:00,832.1868,19.3,19.75,-99.26,-98.88,2019-05-02,15,2,5
2019-05-02 16:00:00,751.59607,19.3,19.75,-99.26,-98.88,2019-05-02,16,2,5
2019-05-02 16:00:00,579.78503,19.3,19.75,-99.26,-98.88,2019-05-02,16,2,5
2019-05-02 17:00:00,260.6919,19.3,19.75,-99.26,-98.88,2019-05-02,17,2,5
2019-05-02 17:00:00,506.98395,19.3,19.75,-99.26,-98.88,2019-05-02,17,2,5
2019-05-02 18:00:00,228.52287,19.3,19.75,-99.26,-98.88,2019-05-02,18,2,5
2019-05-02 18:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,18,2,5
2019-05-02 18:00:00,94.009056,19.3,19.75,-99.26,-98.88,2019-05-02,18,2,5
2019-05-02 19:00:00,2.5132558,19.3,19.75,-99.26,-98.88,2019-05-02,19,2,5
2019-05-02 19:00:00,5.4608045,19.3,19.75,-99.26,-98.88,2019-05-02,19,2,5
2019-05-02 19:00:00,1.784845,19.3,19.75,-99.26,-98.88,2019-05-02,19,2,5
2019-05-02 20:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,20,2,5
2019-05-02 20:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,20,2,5
2019-05-02 20:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,20,2,5
2019-05-02 21:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,21,2,5
2019-05-02 21:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,21,2,5
2019-05-02 21:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,21,2,5
2019-05-02 22:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,22,2,5
2019-05-02 22:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,22,2,5
2019-05-02 22:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,22,2,5
2019-05-02 23:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,23,2,5
2019-05-02 23:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,23,2,5
2019-05-02 23:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-02,23,2,5
2019-05-03 00:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,0,3,5
2019-05-03 00:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,0,3,5
2019-05-03 00:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,0,3,5
2019-05-03 01:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,1,3,5
2019-05-03 01:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,1,3,5
2019-05-03 01:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,1,3,5
2019-05-03 02:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,2,3,5
2019-05-03 02:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,2,3,5
2019-05-03 02:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,2,3,5
2019-05-03 03:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,3,3,5
2019-05-03 03:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,3,3,5
2019-05-03 03:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,3,3,5
2019-05-03 04:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,4,3,5
2019-05-03 04:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,4,3,5
2019-05-03 04:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,4,3,5
2019-05-03 05:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,5,3,5
2019-05-03 05:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,5,3,5
2019-05-03 05:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,5,3,5
2019-05-03 06:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,6,3,5
2019-05-03 06:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,6,3,5
2019-05-03 06:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,6,3,5
2019-05-03 07:00:00,88.59826,19.3,19.75,-99.26,-98.88,2019-05-03,7,3,5
2019-05-03 07:00:00,89.087715,19.3,19.75,-99.26,-98.88,2019-05-03,7,3,5
2019-05-03 07:00:00,88.93454,19.3,19.75,-99.26,-98.88,2019-05-03,7,3,5
2019-05-03 08:00:00,351.2,19.3,19.75,-99.26,-98.88,2019-05-03,8,3,5
2019-05-03 08:00:00,350.45563,19.3,19.75,-99.26,-98.88,2019-05-03,8,3,5
2019-05-03 08:00:00,349.61935,19.3,19.75,-99.26,-98.88,2019-05-03,8,3,5
2019-05-03 09:00:00,605.5923,19.3,19.75,-99.26,-98.88,2019-05-03,9,3,5
2019-05-03 09:00:00,604.841,19.3,19.75,-99.26,-98.88,2019-05-03,9,3,5
2019-05-03 09:00:00,603.57385,19.3,19.75,-99.26,-98.88,2019-05-03,9,3,5
2019-05-03 10:00:00,821.047,19.3,19.75,-99.26,-98.88,2019-05-03,10,3,5
2019-05-03 10:00:00,823.7264,19.3,19.75,-99.26,-98.88,2019-05-03,10,3,5
2019-05-03 10:00:00,822.91327,19.3,19.75,-99.26,-98.88,2019-05-03,10,3,5
2019-05-03 11:00:00,984.51935,19.3,19.75,-99.26,-98.88,2019-05-03,11,3,5
2019-05-03 11:00:00,988.0508,19.3,19.75,-99.26,-98.88,2019-05-03,11,3,5
2019-05-03 11:00:00,987.0257,19.3,19.75,-99.26,-98.88,2019-05-03,11,3,5
2019-05-03 12:00:00,1084.6702,19.3,19.75,-99.26,-98.88,2019-05-03,12,3,5
2019-05-03 12:00:00,1082.048,19.3,19.75,-99.26,-98.88,2019-05-03,12,3,5
2019-05-03 12:00:00,1085.7109,19.3,19.75,-99.26,-98.88,2019-05-03,12,3,5
2019-05-03 13:00:00,1104.0885,19.3,19.75,-99.26,-98.88,2019-05-03,13,3,5
2019-05-03 13:00:00,1108.6692,19.3,19.75,-99.26,-98.88,2019-05-03,13,3,5
2019-05-03 13:00:00,1109.6399,19.3,19.75,-99.26,-98.88,2019-05-03,13,3,5
2019-05-03 14:00:00,1056.419,19.3,19.75,-99.26,-98.88,2019-05-03,14,3,5
2019-05-03 14:00:00,1011.90137,19.3,19.75,-99.26,-98.88,2019-05-03,14,3,5
2019-05-03 14:00:00,1055.904,19.3,19.75,-99.26,-98.88,2019-05-03,14,3,5
2019-05-03 15:00:00,925.8947,19.3,19.75,-99.26,-98.88,2019-05-03,15,3,5
2019-05-03 15:00:00,799.7525,19.3,19.75,-99.26,-98.88,2019-05-03,15,3,5
2019-05-03 15:00:00,914.3356,19.3,19.75,-99.26,-98.88,2019-05-03,15,3,5
2019-05-03 16:00:00,638.7313,19.3,19.75,-99.26,-98.88,2019-05-03,16,3,5
2019-05-03 16:00:00,635.7588,19.3,19.75,-99.26,-98.88,2019-05-03,16,3,5
2019-05-03 16:00:00,706.98474,19.3,19.75,-99.26,-98.88,2019-05-03,16,3,5
2019-05-03 17:00:00,400.90887,19.3,19.75,-99.26,-98.88,2019-05-03,17,3,5
2019-05-03 17:00:00,440.58746,19.3,19.75,-99.26,-98.88,2019-05-03,17,3,5
2019-05-03 17:00:00,465.87653,19.3,19.75,-99.26,-98.88,2019-05-03,17,3,5
2019-05-03 18:00:00,129.866,19.3,19.75,-99.26,-98.88,2019-05-03,18,3,5
