date,max_SWDOWN
2019-05-01,1107.83
2019-05-02,1116.47
2019-05-03,1109.64
2019-05-04,1111.59
2019-05-05,1111.09
2019-05-06,1083.19
2019-05-07,1120.87
2019-05-08,1145.47
2019-05-09,1139.69
2019-05-10,1152.35
2019-05-11,1136.61
2019-05-12,1122.3
2019-05-13,1127.54
2019-05-14,1125.08
2019-05-15,1108.34
2019-05-16,1103.61
2019-05-17,1110.54
2019-05-18,1119.45
2019-05-19,1115.95
2019-05-20,1114.36
2019-05-21,1110.28
2019-05-22,1111.2
2019-05-23,1108.17
2019-05-24,1105.84
2019-05-25,1108.74
2019-05-26,1115.29
2019-05-27,1113.25
2019-05-28,1116.92
2019-05-29,1106.56
2019-05-30,1110.53
2019-05-31,1096.74
